,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
434,72,1,71.0,0.0,238.11886099811488,1.3888888888888888
435,288,2,257.0,29.0,438.2227632379793,0.6944444444444444
436,0,0,1012.0,398.0,855.1369802755441,3.292181069958848
437,1438725,52601,0.0,1386124.0,2570.1982235624505,3.6560843802672505
438,17,0,15.0,2.0,488.0849842090152,0.0
439,1038,5,960.0,73.0,3080.941497729364,0.4816955684007707
440,369,25,344.0,0.0,433.9542760372565,6.775067750677507
441,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
442,53728,1026,0.0,52702.0,2855.4421768707484,1.909618820726623
443,3,0,3.0,0.0,52.994170641229466,0.0
444,97720,3848,0.0,93872.0,1788.662529972727,3.937781416291445
445,751,6,733.0,12.0,1939.6663050777413,0.7989347536617842
446,0,0,0.0,0.0,,
447,83961,2638,0.0,81323.0,2675.109921621105,3.141934945986827
448,1048,32,0.0,0.0,0.0,0.0
449,287,16,0.0,0.0,0.0,0.0
450,7,0,3.0,4.0,46.66044527396347,0.0
451,278,9,216.0,53.0,446.4214025340035,3.237410071942446
452,72,1,71.0,0.0,238.11886099811488,1.3888888888888888
453,288,2,257.0,29.0,438.2227632379793,0.6944444444444444
454,0,0,1012.0,466.0,895.0199121402471,3.145478374836173
455,1452137,53025,0.0,1399112.0,2594.157978605575,3.651514974138115
456,17,0,15.0,2.0,488.0849842090152,0.0
457,1042,5,969.0,68.0,3092.81410465703,0.4798464491362764
458,370,25,344.0,1.0,435.130303885596,6.756756756756757
459,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
460,54177,1032,0.0,53145.0,2879.3048469387754,1.904867379146132
461,3,0,3.0,0.0,52.994170641229466,0.0
462,98686,3889,0.0,94797.0,1806.3441509710249,3.940781873822021
463,755,6,738.0,11.0,1949.997417221964,0.7947019867549668
464,0,0,0.0,0.0,,
465,85432,2671,0.0,82761.0,2721.9779519531003,3.1264631519805226
466,1114,32,0.0,0.0,0.0,0.0
467,288,16,0.0,0.0,0.0,0.0
468,7,0,3.0,4.0,46.66044527396347,0.0
469,288,9,216.0,63.0,462.4797263661619,3.125
470,72,1,71.0,0.0,238.11886099811488,1.3888888888888888
471,288,2,257.0,29.0,438.2227632379793,0.6944444444444444
472,0,0,1012.0,489.0,908.509727329779,3.0987734021949644
473,1464803,53369,0.0,1411434.0,2616.785048198195,3.643425088561397
474,17,0,15.0,2.0,488.0849842090152,0.0
475,1048,5,980.0,63.0,3110.6230150485294,0.4770992366412214
476,370,25,344.0,1.0,435.130303885596,6.756756756756757
477,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
478,54628,1039,0.0,53589.0,2903.2738095238096,1.9019550413707256
